name,category,status,flags,serving_label,serving_grams,calories,protein_g,carbs_g,fat_g,fibre_g,sodium_mg,sugar_g,confidence
Breakfast quesadilla,Australian breakfast & brunch,succeeded,,1 quesadilla (~220g),220,520,24,38,30,2.5,950,3,medium
Overnight oats,Australian breakfast & brunch,succeeded,,1 jar (~300g),300,350,12.5,45,13,7,100,15,medium
Protein pancakes,Australian breakfast & brunch,succeeded,,"1 serve (3 pancakes, ~150g)",150,310,25,28,10,3,420,8,medium
Smashed avo with feta,Australian breakfast & brunch,succeeded,,"1 serve (2 slices toast with avo & feta, ~300g)",300,480,15,42,29,8,780,4,medium
Egg white omelette,Australian breakfast & brunch,succeeded,,"1 serve (~3 egg whites, ~150g)",150,110,18,2,3,0,380,1,medium
Breakfast skillet,Australian breakfast & brunch,succeeded,LOW_CONFIDENCE,1 serve (~450g),450,620,27,42,38,5,1050,5,low
Sourdough toast with butter,Australian breakfast & brunch,succeeded,,2 slices (~80g bread + butter),90,280,8,40,10,2.5,480,2,medium
Toasted muesli bar,Australian breakfast & brunch,succeeded,,1 bar (~35g),35,160,3,21,6.5,1.8,60,10.5,high
Yoghurt parfait,Australian breakfast & brunch,succeeded,,1 serve (~250g),250,320,9.5,42,12.5,2.5,90,32,medium
Continental breakfast plate,Australian breakfast & brunch,succeeded,LOW_CONFIDENCE,"1 plate (~200g, incl. pastry, ham, cheese, fruit)",200,480,15,50,24,3,700,18,low
Ham and cheese sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (2 slices bread),150,350,18.5,33,15.5,2.5,980,5,high
Ham and salad sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 sandwich (2 slices bread, ~200g)",200,340,17,38,12,4,900,6,medium
Chicken sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~220g),220,430,27,38,18,3,780,5,medium
Egg and lettuce sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 sandwich, 2 slices bread (~150g)",150,340,13.5,33,17.5,3,560,4.5,medium
BLT,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~220g),220,520,19,40,32,3.5,980,6,medium
Club sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 serve (~350g, triple-decker with fries garnish)",350,620,32,48,33,3.5,1350,6,medium
Tuna sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 sandwich (2 slices bread, ~180g)",180,380,22,34,17,3,680,5,medium
Cheese and tomato sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 sandwich, 2 slices bread (~150g)",150,340,15,34,16,2.5,620,5,medium
Salad sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 sandwich (2 slices bread, ~180g)",180,340,12,38,15,4.5,620,6.5,medium
Chicken schnitzel roll,"Sandwiches, wraps, rolls, burgers",succeeded,,1 roll (~350g),350,780,35,70,40,4,1300,10,medium
Chicken schnitzel burger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~350g),350,750,38,65,37,4,1250,12,medium
Chicken caesar wrap,"Sandwiches, wraps, rolls, burgers",succeeded,,1 wrap (~280g),280,560,30,45,28,3,980,4,medium
Chicken avocado wrap,"Sandwiches, wraps, rolls, burgers",succeeded,,1 wrap (~300g),300,520,30,42,25,5,850,4,medium
Falafel wrap,"Sandwiches, wraps, rolls, burgers",succeeded,,1 wrap (~350g),350,620,19,68,30,9,980,7,medium
Beef burrito wrap,"Sandwiches, wraps, rolls, burgers",succeeded,,1 wrap (~300g),300,620,30,60,28,5,1100,5,medium
Turkish bread sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,LOW_CONFIDENCE,1 sandwich (~300g),300,620,28,65,27,4.5,1150,7,low
Toasted cheese sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 sandwich (2 slices bread, ~110g)",110,340,15.5,30,18.5,2,650,3.5,high
Ham and cheese toastie,"Sandwiches, wraps, rolls, burgers",succeeded,,1 toastie (2 slices bread),150,400,20,35,20,2,950,4,high
Toasted ham and cheese,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 sandwich (2 slices bread, ~150g)",150,400,20,35,20,2.5,950,5,medium
Grilled cheese sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~150g),150,420,17,34,25,2,780,4,high
Reuben sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~350g),350,830,40,46,54,4,2200,8,medium
Philly cheesesteak,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~280g),280,720,38,55,38,3,1350,6,medium
Meatball sub,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sub (~280g),280,720,35,68,34,4.5,1450,10,medium
Chicken parma roll,"Sandwiches, wraps, rolls, burgers",succeeded,,1 roll (~450g),450,980,45,85,50,4.5,1750,10,medium
Vietnamese pork roll,"Sandwiches, wraps, rolls, burgers",succeeded,,1 roll (~250g),250,550,22,60,25,3.5,1100,8,medium
Banh mi,"Sandwiches, wraps, rolls, burgers",succeeded,,1 roll (~250g),250,550,24,62,22,3.5,1150,9,medium
Steak sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~350g),350,750,40,60,38,3.5,1300,10,medium
Hamburger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~220g),220,550,27,42,30,2.5,900,8,medium
Cheeseburger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~200g),200,540,27,40,29,2,980,8,high
Bacon cheeseburger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~280g),280,720,38,40,44,2.5,1300,8,medium
Double cheeseburger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~280g),280,720,40,42,42,2.5,1200,9,medium
Veggie burger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~250g),250,480,16,55,21,7,850,8,medium
Chicken burger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~250g),250,550,28,45,28,3,900,8,medium
Fish burger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~220g),220,480,20,44,25,2.5,780,7,medium
Lamb burger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~300g),300,650,33,45,36,3,950,8,medium
Beef burger with the lot,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~350g),350,780,40,60,42,4,1350,14,medium
Aussie burger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~380g),380,780,35,62,44,4,1350,15,medium
Big Mac style burger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~215g),215,550,25,45,30,3,970,9,high
Pulled pork burger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~320g),320,720,34,62,36,3,1150,20,medium
Portobello mushroom burger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~280g),280,480,15,48,25,5.5,780,8,medium
Falafel burger,"Sandwiches, wraps, rolls, burgers",succeeded,,1 burger (~350g),350,620,20,68,30,9,900,8,medium
Hot dog,"Sandwiches, wraps, rolls, burgers",succeeded,,1 hot dog (~150g),150,300,12,26,17,1.5,780,5,medium
Chilli dog,"Sandwiches, wraps, rolls, burgers",succeeded,,1 hot dog (~180g),180,450,17,33,27,2.5,1100,6,medium
Corn dog,"Sandwiches, wraps, rolls, burgers",succeeded,,1 corn dog (~100g),100,280,8.5,28,16,1.5,620,6,medium
Wrap with hummus,"Sandwiches, wraps, rolls, burgers",succeeded,,1 wrap (~220g),220,420,12.5,48,19,6.5,680,4.5,medium
Greek wrap,"Sandwiches, wraps, rolls, burgers",succeeded,,1 wrap (~350g),350,650,32,55,33,4.5,1150,6,medium
Chicken caesar sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~250g),250,520,30,42,26,3,980,5,medium
Egg mayo sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 sandwich (2 slices bread, ~150g)",150,360,13,33,20,2.5,620,4,medium
Prawn sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 sandwich (2 slices bread, ~180g)",180,380,16,38,19,2.5,720,5,medium
Smoked salmon bagel,"Sandwiches, wraps, rolls, burgers",succeeded,,1 bagel with cream cheese and salmon (~180g),180,400,22,47,14,2.5,950,6,medium
Bagel with cream cheese,"Sandwiches, wraps, rolls, burgers",succeeded,,1 bagel with 2 tbsp cream cheese (~130g),130,350,12,48,12,2,560,6,medium
Toasted turkish wrap,"Sandwiches, wraps, rolls, burgers",succeeded,,1 wrap (~280g),280,620,28,62,29,4.5,1150,6,medium
Chicken tikka wrap,"Sandwiches, wraps, rolls, burgers",succeeded,,1 wrap (~280g),280,520,32,50,21,4,950,6,medium
Halloumi wrap,"Sandwiches, wraps, rolls, burgers",succeeded,,1 wrap (~300g),300,620,24,55,34,5,1200,7,medium
Roast beef sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~220g),220,430,27,42,16,3,950,6,medium
Ham croissant,"Sandwiches, wraps, rolls, burgers",succeeded,,1 croissant (~130g),130,380,15,32,22,1.5,780,5,medium
Turkey club sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 sandwich (triple-decker, ~300g)",300,560,32,45,28,3.5,1350,6,medium
Meatball sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~280g),280,680,32,62,33,4,1350,10,medium
Chicken pesto sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~250g),250,520,32,42,25,3,850,4,medium
Salami sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (2 slices bread),150,380,16,35,19,2.5,950,5,medium
Pastrami sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~280g),280,620,34,55,28,3.5,1850,7,medium
Vegemite and cheese sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (2 slices bread),100,280,12.5,33,10.5,2.8,950,4,medium
Peanut butter sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (2 slices bread),90,320,11.5,35,16.5,3,420,6.5,medium
Jam sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (2 slices bread),80,230,5.5,41,4.5,1.8,320,15,high
Nutella sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (2 slices bread + Nutella),90,300,6.5,42,12.5,2,320,20,medium
Schnitzel sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~320g),320,720,32,62,37,4,1150,9,medium
Pork roll,"Sandwiches, wraps, rolls, burgers",succeeded,,1 roll (~250g),250,550,24,58,25,3.5,1150,8,medium
Chicken salad sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,"1 sandwich (2 slices bread, ~200g)",200,420,24,38,19,3,720,5,medium
BBQ chicken wrap,"Sandwiches, wraps, rolls, burgers",succeeded,,1 wrap (~280g),280,520,28,52,21,3.5,980,8,medium
Buffalo chicken wrap,"Sandwiches, wraps, rolls, burgers",succeeded,,1 wrap (~300g),300,650,33,52,33,3,1450,4,medium
Caprese sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,,1 sandwich (~280g),280,620,26,55,34,4,980,6,medium
Focaccia sandwich,"Sandwiches, wraps, rolls, burgers",succeeded,LOW_CONFIDENCE,1 sandwich (~300g),300,650,28,55,35,3.5,1150,5,low
Meat pie,Australian bakery & takeaway classics,succeeded,,1 pie (~175g),175,460,15,38,27,2.5,780,4,high
Chicken pie,Australian bakery & takeaway classics,succeeded,,1 individual pie (~200g),200,520,18,40,32,2.5,780,3,medium
Steak pie,Australian bakery & takeaway classics,succeeded,,1 individual pie (~200g),200,550,20,40,35,2.5,750,3,medium
Party pie,Australian bakery & takeaway classics,succeeded,,1 mini pie (~40g),40,110,3.5,10,6.5,0.7,220,1,high
Sausage roll,Australian bakery & takeaway classics,succeeded,,1 roll (~130g),130,380,9.5,28,26,1.5,620,3.5,high
Cheese and bacon roll,Australian bakery & takeaway classics,succeeded,,1 roll (~120g),120,380,15.5,38,19,2,720,4.5,medium
Vegemite scroll,Australian bakery & takeaway classics,succeeded,,1 scroll (~110g),110,330,9.5,42,13.5,2,680,5,medium
Cheese and vegemite scroll,Australian bakery & takeaway classics,succeeded,,1 scroll (~120g),120,340,12.5,40,14,2,620,4,medium
Chicken parma,Australian bakery & takeaway classics,succeeded,,"1 serve (~500g, with chips)",500,1150,55,90,62,7,1600,12,medium
Chicken parmigiana,Australian bakery & takeaway classics,succeeded,,"1 serve (~450g, with chips)",450,980,52,68,54,5,1450,8,medium
Chicken schnitzel,Australian bakery & takeaway classics,succeeded,,"1 serve (~250g, plain, no sides)",250,550,40,30,29,2,650,2,medium
Dim sim,Australian bakery & takeaway classics,succeeded,,1 large dim sim (~120g),120,220,8,22,11,1.5,480,2,medium
Potato scallop,Australian bakery & takeaway classics,succeeded,,1 scallop (~80g),80,180,2.8,20,10,1.6,190,0.8,medium
Potato cake,Australian bakery & takeaway classics,succeeded,,1 potato cake (~120g),120,280,4.5,28,17,2.5,380,1.5,medium
Spring roll,Australian bakery & takeaway classics,succeeded,,1 spring roll (~65g),65,160,4,15,9.5,1.5,280,1.5,medium
Curry puff,Australian bakery & takeaway classics,succeeded,,1 puff (~80g),80,220,4.5,20,13.5,1.5,300,1.5,medium
Pastie,Australian bakery & takeaway classics,succeeded,,1 pastie (~180g),180,480,15,40,29,3,680,4,medium
Cornish pastie,Australian bakery & takeaway classics,succeeded,,1 pastie (~150g),150,390,12,33,23,2.5,620,3,medium
Chiko roll,Australian bakery & takeaway classics,succeeded,,1 roll (~170g),170,440,10,40,26,3,700,3,high
Pluto pup,Australian bakery & takeaway classics,succeeded,,1 stick (~120g),120,320,9,28,19,1.5,650,4,medium
Battered sav,Australian bakery & takeaway classics,succeeded,,1 battered sav (~120g),120,320,10,20,22,1,780,2,medium
Donut,Australian bakery & takeaway classics,succeeded,,1 glazed donut (~60g),60,240,3.5,28,13,0.8,210,14,medium
Jam donut,Australian bakery & takeaway classics,succeeded,,1 donut (~80g),80,290,4.5,40,13,1.2,220,18,medium
Custard tart,Australian bakery & takeaway classics,succeeded,,1 individual tart (~100g),100,280,5.5,30,15,0.8,150,15,medium
Vanilla slice,Australian bakery & takeaway classics,succeeded,,1 piece (~120g),120,350,5,42,18,0.5,190,28,medium
Lamington,Australian bakery & takeaway classics,succeeded,,1 piece (~70g),70,260,3,40,10,1.5,140,28,high
Apple turnover,Australian bakery & takeaway classics,succeeded,,1 turnover (~110g),110,300,3.8,37,16,1.8,200,15,medium
Finger bun,Australian bakery & takeaway classics,succeeded,,1 bun (~80g),80,260,6,48,4.5,1.6,220,18,medium
Iced bun,Australian bakery & takeaway classics,succeeded,,1 bun (~90g),90,290,6.5,52,6.5,1.8,220,22,medium
Cream bun,Australian bakery & takeaway classics,succeeded,,1 bun (~80g),80,280,5.5,34,14,1,220,14,medium
Hot cross bun,Australian bakery & takeaway classics,succeeded,,1 bun (~80g),80,260,6.5,47,5.5,2.5,240,17,high
Scone with jam and cream,Australian bakery & takeaway classics,succeeded,,1 scone with jam and cream (~120g),120,380,5.5,48,18,1.3,400,22,medium
Pumpkin scone,Australian bakery & takeaway classics,succeeded,,1 scone (~70g),70,210,4.2,33,6.8,1.5,300,7.5,medium
Cheese scone,Australian bakery & takeaway classics,succeeded,,1 scone (~80g),80,280,8,30,14,1.2,480,2,medium
Neenish tart,Australian bakery & takeaway classics,succeeded,,1 tart (~55g),55,210,2.2,30,9.5,0.6,90,21,medium
Butterfly cake,Australian bakery & takeaway classics,succeeded,,1 cake (~60g),60,210,3,28,10,0.5,150,18,medium
Vovo,Australian bakery & takeaway classics,succeeded,LOW_CONFIDENCE,1 piece (~15g),15,60,0.4,10.5,2.2,0.2,15,9.5,low
Rock cake,Australian bakery & takeaway classics,succeeded,,1 cake (~80g),80,290,5,42,11,1.5,210,20,medium
Pikelet,Australian bakery & takeaway classics,succeeded,,3 pikelets (~90g),90,220,5.5,36,5.5,1.2,280,10,medium
Anzac biscuit,Australian bakery & takeaway classics,succeeded,,1 biscuit (~35g),35,160,1.8,20,8,1.2,70,11,high
Ginger nut biscuit,Australian bakery & takeaway classics,succeeded,,2 biscuits (~20g),20,88,1.1,14.5,3,0.4,60,6,high
Chocolate eclair,Australian bakery & takeaway classics,succeeded,,1 eclair (~80g),80,260,4.5,24,17,0.8,150,15,medium
Cream puff,Australian bakery & takeaway classics,succeeded,,1 puff (~70g),70,220,4,18,15,0.5,110,9,medium
Donut with sprinkles,Australian bakery & takeaway classics,succeeded,,1 donut (~60g),60,240,3.5,30,12,1,210,15,medium
Cinnamon donut,Australian bakery & takeaway classics,succeeded,,1 donut (~55g),55,220,3.2,28,11,1,190,12,medium
Bacon and egg pie,Australian bakery & takeaway classics,succeeded,,1 slice (~150g),150,390,15,22,26,1.2,620,1.5,medium
Meat and vegetable pie,Australian bakery & takeaway classics,succeeded,,1 pie (~175g),175,460,15,40,26,3,720,5,medium
Cottage pie roll,Australian bakery & takeaway classics,succeeded,,1 roll (~150g),150,380,12,32,22,2.5,520,4,medium
Chicken and mushroom pie,Australian bakery & takeaway classics,succeeded,,1 pie (~200g),200,520,18,38,33,2.5,780,3,medium
Beef pie,Australian bakery & takeaway classics,succeeded,,1 pie (~200g),200,520,18,40,32,2.5,780,4,high
Gravy roll,Australian bakery & takeaway classics,succeeded,,1 roll (~180g),180,420,12,45,21,2,780,5,medium
Sausage roll with sauce,Australian bakery & takeaway classics,succeeded,,1 sausage roll with tomato sauce (~150g),150,400,10.5,32,26,1.8,680,8.5,medium
Pie with mash and gravy,Australian bakery & takeaway classics,succeeded,,1 serve (~450g),450,750,25,55,45,4,1400,6,medium
Sweet potato scallop,Australian bakery & takeaway classics,succeeded,,1 piece (~60g),60,130,1.5,15,7,1.2,90,3,medium
Fish cake,Australian bakery & takeaway classics,succeeded,,4 slices (~100g),100,220,10,15,13,0.5,480,3,medium
Crab stick roll,Australian bakery & takeaway classics,succeeded,,"1 roll (~6 pieces, ~150g)",150,230,6.5,42,3.5,1.5,480,6,medium
Prawn twister,Australian bakery & takeaway classics,succeeded,,"1 serve (~6 pieces, 200g)",200,480,16,40,28,1.5,620,3,medium
Money bag,Australian bakery & takeaway classics,succeeded,,"1 serve (6 pieces, ~180g)",180,420,14,30,26,1.5,620,4,medium
Spring roll platter,Australian bakery & takeaway classics,succeeded,,"1 serve (6 spring rolls, ~300g)",300,660,15,60,40,5,900,5,medium
Yum cha dumpling,Australian bakery & takeaway classics,succeeded,,"1 serve (4 dumplings, ~150g)",150,220,9.5,20,11,1.2,480,1.5,medium
Custard donut,Australian bakery & takeaway classics,succeeded,,1 donut (~90g),90,320,5.5,38,16.5,1.2,220,18,medium
Jam tart,Australian bakery & takeaway classics,succeeded,,1 slice (~60g),60,220,2.5,33,9,0.8,110,17,medium
Fish and chips,Fish & chips / seafood takeaway,succeeded,,"1 serve (~450g, 1 piece battered fish + chips)",450,1100,38,95,65,7,1100,2,medium
Grilled fish and chips,Fish & chips / seafood takeaway,succeeded,,1 serve (~400g),400,650,38,55,30,5,620,2.5,medium
Battered fish,Fish & chips / seafood takeaway,succeeded,,1 piece (~180g),180,430,24,28,25,1.5,480,1,medium
Crumbed fish,Fish & chips / seafood takeaway,succeeded,,"1 serve (~200g, 2 fillets)",200,460,26,30,26,1.5,620,1.5,medium
Calamari rings,Fish & chips / seafood takeaway,succeeded,,1 serve (~250g),250,620,28,45,36,2,780,1.5,medium
Salt and pepper squid,Fish & chips / seafood takeaway,succeeded,,1 serve (~300g),300,620,28,42,36,3,950,2,medium
Prawn cutlets,Fish & chips / seafood takeaway,succeeded,,"1 serve (8 cutlets, ~200g)",200,460,22,38,24,1.5,620,2,medium
Scallops,Fish & chips / seafood takeaway,succeeded,LOW_CONFIDENCE,"1 serve (~6 scallops, ~150g)",150,210,21,6,11,0.3,480,0.5,low
Seafood basket,Fish & chips / seafood takeaway,succeeded,LOW_CONFIDENCE,1 serve (~350g),350,780,32,60,46,3,1100,4,low
Fish cocktail,Fish & chips / seafood takeaway,succeeded,LOW_CONFIDENCE,1 serve (~200g),200,220,16,10,12,1,480,6,low
Battered prawns,Fish & chips / seafood takeaway,succeeded,,"1 serve (~250g, approx 8-10 prawns)",250,620,26,45,36,2,780,2,medium
Fish taco,Fish & chips / seafood takeaway,succeeded,,2 tacos (~300g),300,520,24,48,26,4,780,5,medium
Grilled prawns,Fish & chips / seafood takeaway,succeeded,,1 serve (~200g prawns),200,260,38,2,11,0.2,620,0.5,medium
Oysters natural,Fish & chips / seafood takeaway,succeeded,,"1 serve, 6 oysters (~150g)",150,90,10.5,4.5,2.5,0,300,0,medium
Oysters kilpatrick,Fish & chips / seafood takeaway,succeeded,,"1 serve (6 oysters, ~150g)",150,220,12,6,15,0.2,780,3,medium
Fish and salad,Fish & chips / seafood takeaway,succeeded,LOW_CONFIDENCE,1 serve (~350g),350,420,32,12,26,4,480,6,low
